date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:19:12	0/0	---M--	301	error ('Moved%20Permanently')	application/binary	date:Thu,%2026%20Dec%202019%2010:49:11%20GMT	http://sites.google.com/view/spiralplayer	/storage/emulated/0/HTTrack/Websites/spiralplayer/sites.google.com/view/spiralplayer.0.delayed	(from )
16:19:14	67/67	---MCZ	200	added ('OK')	text/plain	date:Thu,%2026%20Dec%202019%2010:49:13%20GMT	https://sites.google.com/robots.txt		(from )
16:19:14	56306/56306	---MCZ	200	added ('OK')	text/html	date:Thu,%2026%20Dec%202019%2010:49:12%20GMT	https://sites.google.com/view/spiralplayer	/storage/emulated/0/HTTrack/Websites/spiralplayer/sites.google.com/view/spiralplayer.html	(from )
16:19:15	297036/297036	---M--	200	added ('OK')	image/png	date:Thu,%2003%20Oct%202019%2010:15:00%20GMT	https://ssl.gstatic.com/atari/images/simple-header-blended-small.png	/storage/emulated/0/HTTrack/Websites/spiralplayer/ssl.gstatic.com/atari/images/simple-header-blended-small.png	(from https://sites.google.com/view/spiralplayer)
16:19:16	43/43	---M--	200	added ('OK')	image/gif	date:Thu,%2021%20Apr%202016%2003:17:22%20GMT	https://ssl.gstatic.com/docs/common/cleardot.gif	/storage/emulated/0/HTTrack/Websites/spiralplayer/ssl.gstatic.com/docs/common/cleardot.gif	(from https://sites.google.com/view/spiralplayer)
16:19:16	12887/12887	---MC-	200	added ('OK')	application/javascript	date:Thu,%2026%20Dec%202019%2010:49:16%20GMT	https://apis.google.com/js/client.js?onload=gapiLoaded	/storage/emulated/0/HTTrack/Websites/spiralplayer/apis.google.com/js/clientc932.js	(from https://sites.google.com/view/spiralplayer)
16:19:19	56334/56334	---MCZ	200	added ('OK')	text/html	date:Thu,%2026%20Dec%202019%2010:49:18%20GMT	https://sites.google.com/view/spiralplayer/home	/storage/emulated/0/HTTrack/Websites/spiralplayer/sites.google.com/view/spiralplayer/home.html	(from https://sites.google.com/view/spiralplayer)
16:19:19	53948/53948	---MCZ	200	added ('OK')	text/html	date:Thu,%2026%20Dec%202019%2010:49:19%20GMT	https://sites.google.com/view/spiralplayer/privacy-policy	/storage/emulated/0/HTTrack/Websites/spiralplayer/sites.google.com/view/spiralplayer/privacy-policy.html	(from https://sites.google.com/view/spiralplayer)
16:19:20	41122/41122	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2026%20Dec%202019%2010:49:20%20GMT	https://sites.google.com/view/spiralplayer/%22https://support.google.com/admob/answer/6128543?hl=en%22	/storage/emulated/0/HTTrack/Websites/spiralplayer/sites.google.com/view/spiralplayer/_https_/support.google.com/admob/answer/6128543.72e0e.delayed	(from https://sites.google.com/view/spiralplayer/privacy-policy)
16:19:21	41072/41072	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2026%20Dec%202019%2010:49:21%20GMT	https://sites.google.com/view/spiralplayer/%22https://firebase.google.com/terms/crashlytics%22	/storage/emulated/0/HTTrack/Websites/spiralplayer/sites.google.com/view/spiralplayer/_https_/firebase.google.com/terms/crashlytics_.8.delayed	(from https://sites.google.com/view/spiralplayer/privacy-policy)
